nome_exame_oficial,sinonimos,codigo_tasy,codigo_tuss,terminologia_procedimentos
"1,25-dihidroxi vitamina D - pesquisa e/ou dosagem",,,40305015,
"1,3-Beta-D-Glucan, soro",,,40322556,
"10,11 Epóxido carbamazepinam, soro",,,40322351,
11-desoxicorticosterona - pesquisa e/ou dosagem,,,40305740,
17-alfa-hidroxiprogesterona - pesquisa e/ou dosagem,,,40316017,
17-cetogênicos (17-CGS) - pesquisa e/ou dosagem,,,40305040,
17-cetogênicos cromatografia - pesquisa e/ou dosagem,,,40305058,
17-cetosteróides (17-CTS) - cromatografia - pesquisa e/ou dosagem,,,40305066,
17-cetosteróides relação alfa/beta - pesquisa e/ou dosagem,,,40305074,
17-cetosteróides totais (17-CTS) - pesquisa e/ou dosagem,,,40305082,
17-hidroxicorticosteróides (17-OHS) - pesquisa e/ou dosagem,,,40305783,
17-hidroxipregnenolona - pesquisa e/ou dosagem,,,40305090,
17KS,,17KS,,
17NN,,17NN,,
"2,5-hexanodiona, dosagem na urina",,,40311236,
25HXD,,25HXD,,
3 alfa androstonediol glucoronídeo (3ALFDADIOL) - pesquisa e/ou dosagem,,,40316025,
"3-metil histidina, pesquisa e/ou dosagem no soro",,,40301010,
3MH,,3MH,,
4CLCA,,4CLCA,,
5-nucleotidase - pesquisa e/ou dosagem,,,40301028,
5NUC,,5NUC,,
6-Monoacetilmorfina urinária,,,40302857,
"7 Dihidrocolesterol, dosagem",,,40302865,
"A fresco, exame",,,40310019,
A1A,,A1A,,
A1AF,,A1AF,,
A1C,,A1C,,
A200,,A200,,
A2M,,A2M,,
A5H,,A5H,,
AACH1,,AACH1,,
AACQT,,AACQT,,
AACTI,,AACTI,,
AAE,,AAE,,
AAGN,,AAGN,,
AAHU,,AAHU,,
AAI,,AAI,,
AAPLA,,AAPLA,,
AASD,,AASD,,
AASTR,,AASTR,,
AAYE,,AAYE,,
AAYO,,AAYO,,
AB2GL,,AB2GL,,
Abaixamento miotendinoso no antebraço,,,30720010,
Abdominal ou hipogástrico - transplantes cutâneos,,,30701015,
Abdominoplastia pós bariátrica,,,30101972,
Abertura de bainha tendinosa - tratamento cirúrgico,,,30731011,
Ablação de circuito arritmogênico por cateter de radiofrequência,,,30912016,
Ablação percutânea de tumor hepático (qualquer método) - metodo intervencionista/terapêutico por imagem,,,40813029,
Ablação percutânea de tumor ósseo (qualquer método),,,40813037,
Ablação percutânea de tumor (qualquer método),,,40813045,
Ablação percutânea de tumor renal (qualquer método),,,40814181,
Ablação percutânea de tumor torácico (qualquer método),,,40813010,
"Ablação percutânea por cateter para tratamento de arritmias cardíacas complexas (Fibrilação atrial, Taquicardia Ventricular com modificação de cicatriz, Taquicardias Atriais Macrorreentrantes com modificação de cicatriz) por energia de radiofrequência ou crioablação",,,30918081,
Ablação percutânea por cateter para tratamento de arritmias cardíacas por energia de radiofrequência ou crioablação,,,30918073,
Ablação prostática a laser por via endoscópica,,,31201016,
Abrasão cirúrgica (por sessão),,,30101018,
Abscesso anorretal - drenagem,,,31004016,
Abscesso de mão e dedos - tenossinovites / espaços palmares / dorsais e comissurais - tratamento cirúrgico,,,30722012,
Abscesso de pálpebra - drenagem,,,30301017,
Abscesso de próstata - drenagem,,,31201024,
Abscesso de unha (drenagem) - tratamento cirúrgico,,,30101930,
Abscesso faríngeo - qualquer área,,,30205018,
Abscesso hepático - drenagem cirúrgica (até 3 fragmentos),,,31005012,
Abscesso hepático - drenagem cirúrgica por videolaparoscopia,,,31005454,
Abscesso isquio-retal - drenagem,,,31004024,
Abscesso ou hematoma de septo nasal - drenagem,,,30501016,
Abscesso ou hematoma de septo nasal - drenagem sob anestesia geral,,,30501024,
Abscesso perineal - drenagem cirúrgica,,,31009018,
Abscesso periuretral - tratamento cirúrgico,,,31104010,
Abscesso renal ou peri-renal - drenagem cirúrgica,,,31101011,
Abscesso renal ou peri-renal - drenagem percutânea,,,31101020,
Abscesso subfrênico - tratamento cirúrgico,,,30806011,
Abscessos de dedo (drenagem) - tratamento cirúrgico,,,30722039,
Absorção de gorduras,,,40702120,
ACA,,ACA,,
ACAMJG,,ACAMJG,,
ACAMJM,,ACAMJM,,
"Acanthamoeba, cultura",,,40310698,
"Acanthamoeba, pesquisa, vários materiais",,,40310680,
ACBIL,,ACBIL,,
ACBL,,ACBL,,
ACC,,ACC,,
Acesso endoscópico ao tratamento cirúrgico dos tumores da região selar,,,31401341,
Acetaminofen - pesquisa e/ou dosagem,,,40301036,
"Acetilcolina, anticorpos bloqueador receptor",,,40308901,
"Acetilcolina, anticorpos ligador receptor",,,40323030,
"Acetilcolina, anticorpos modulador receptor",,,40323048,
"Acetilcolinesterase, em eritrócitos - pesquisa e/ou dosagem",,,40301044,
ACETL,,ACETL,,
"Acetoacetato, dosagem",,,40322521,
"Acetona, pesquisa e/ou dosagem no soro",,,40301052,
ACETR,,ACETR,,
ACG,,ACG,,
ACGXL,,ACGXL,,
ACH,,ACH,,
ACHIA,,ACHIA,,
Acidez titulável - pesquisa e/ou dosagem na urina,,,40311260,
Ácido 2 Tio-Tiazolidina 4 carboxílico,,,40322149,
"Ácido 5 hidróxi indol acético, dosagem na urina",,,40305112,
Ácido acético - pesquisa e/ou dosagem,,,40313298,
Ácido ascórbico (vitamina C) - pesquisa e/ou dosagem,,,40301060,
Ácido beta hidroxi butírico - pesquisa e/ou dosagem,,,40301079,
"Ácido cítrico (Citrato), dosagem esperma",,,40322289,
"Ácido cítrico (Citrato), dosagem sangue",,,40322270,
Ácido cítrico - pesquisa e/ou dosagem na urina,,,40311015,
Ácido delta aminolevulínico desidratase (para chumbo inorgânico) - pesquisa e/ou dosagem,,,40313026,
Ácido delta aminolevulínico (para chumbo inorgânico) - pesquisa e/ou dosagem,,,40313018,
Ácido fenilglioxílico (para estireno) - pesquisa e/ou dosagem,,,40313034,
Ácido fitânico,,,40322157,
"Ácido fólico, pesquisa e/ou dosagem nos eritrócitos",,,40301087,
"Ácido Gama-hidroxibutirico, dosagem soro",,,40302873,
Ácido glioxílico - pesquisa e/ou dosagem,,,40301095,
Ácido hialuronico,,,40322165,
Ácido hipúrico (para tolueno) - pesquisa e/ou dosagem,,,40313042,
Ácido homo vanílico - pesquisa e/ou dosagem,,,40305120,
Ácido homogentísico - pesquisa e/ou dosagem na urina,,,40311023,
Ácido láctico (lactato) - pesquisa e/ou dosagem,,,40301109,
Ácido mandélico (para estireno) - pesquisa e/ou dosagem,,,40313050,
Ácido metil malônico - pesquisa e/ou dosagem,,,40313301,
Ácido metilhipúrico (para xilenos) - pesquisa e/ou dosagem,,,40313069,
"Ácido Micofenólico, dosagem soro",,,40302881,
Ácido orótico - pesquisa e/ou dosagem,,,40301117,
Ácido oxálico - pesquisa e/ou dosagem,,,40301125,
Ácido pirúvico - pesquisa e/ou dosagem,,,40301133,
